rva	size	donor	donor_rva	symbol	unit	score	margin	target_strings	evidence
0x000826c0	0x1a0	buka21	0x000638f6	?HeroView@@YIHHHH@Z	SOURCE/HERO	0.428542	0.007732		shape=0.226;size=0.775;calls=0.737;alternate=pol20:int HeroView(int, int, int)@0x0006f354:0.422574
0x00082860	0x30	buka21	0x00021710	??0armyGroup@@QAE@XZ	SOURCE/ARMYGRP	0.421954	0.183728		shape=0.182;size=0.980;calls=0.667;alternate=pol20:void armyGroup::constructor(void)@0x0008c040:0.350508
0x00082890	0x70	buka21	0x000d937c	_lseek	(libcmt)	0.460333	0.000000		shape=0.208;size=0.902;calls=1.000;alternate=pol20:long int FileSize(char *)@0x000c68c0:0.408703
0x00082900	0x90	buka21	0x000d8beb	__close_lk	(libcmt)	0.466836	0.040545		shape=0.240;size=0.910;calls=0.875;alternate=pol20:void advManager::HeroSwap(class hero *, class hero *)@0x000aea02:0.412956
0x00082990	0x80	buka21	0x000d937c	_lseek	(libcmt)	0.427928	0.000000		shape=0.228;size=0.789;calls=1.000;alternate=pol20:void MIDIWrap::constructor(char *)@0x000daf70:0.408707
0x00082a10	0x230	buka21	0x000d89b5	__read_lk	(libcmt)	0.508123	0.105882		shape=0.345;size=0.845;calls=1.000;alternate=pol20:void advManager::ViewWorld(int, int, int)@0x000333c0:0.374140
0x00082c40	0x20	buka21	0x000e241a	_strtol	(libcmt)	0.461875	0.000000		shape=0.400;size=0.719;calls=1.000;alternate=pol20:void border::constructor(void)@0x000d20a0:0.447700
0x00082c60	0x460	buka21	0x0009333c	?SetupGame@game@@QAEHXZ	SOURCE/SETUP	0.403497	0.026636		shape=0.153;size=0.782;calls=0.903;alternate=pol20:int EventWindowHandler(struct tag_message &)@0x0009a09f:0.394376
0x000830c0	0x80	buka21	0x000d937c	_lseek	(libcmt)	0.427928	0.000000		shape=0.228;size=0.789;calls=1.000;alternate=pol20:void MIDIWrap::constructor(char *)@0x000daf70:0.408707
0x00083140	0x200	buka21	0x000d89b5	__read_lk	(libcmt)	0.455309	0.011035		shape=0.183;size=0.924;calls=0.889;alternate=pol20:void DoAdvance(struct SmackTag *, int, int, int, int)@0x0000104e:0.408638
0x00083340	0xd0	buka21	0x000d8f60	__strnicmp	(libcmt)	0.672531	0.199741		shape=0.690;size=0.809;calls=1.000;alternate=pol20:void fileRequester::CleanUpData(void)@0x0008d48f:0.382442
0x00083410	0xb0	buka21	0x000d8690	_strcmpi	(libcmt)	0.658011	0.238646		shape=0.641;size=0.846;calls=1.000;alternate=pol20:class sample * resourceManager::GetSample(char *)@0x000c8570:0.386343
0x000834c0	0x60	buka21	0x000e7ecb	__access	(libcmt)	0.445233	0.031290		shape=0.343;size=0.729;calls=0.833;alternate=pol20:void highScoreManager::Close(void);   // virtual [override (implements baseManager pure virtual)]@0x00089be2:0.391634
0x00083520	0x70	buka21	0x000e463d	___add_12	(libcmt)	0.451688	0.009033		shape=0.205;size=0.839;calls=1.000;alternate=pol20:int GetMapHeader(char *, struct SMapHeader *)@0x0008c920:0.448553
0x00083590	0xc0	buka21	0x000d9adf	___InternalCxxFrameHandler	(libcmt)	0.507868	0.056808		shape=0.364;size=0.807;calls=1.000;alternate=pol20:void * MIDIWrap::scalar_dtor(unsigned int);   // virtual [introduces virtual]@0x000daff0:0.249169
0x00083650	0x2a0	buka21	0x00092b64	?SetupNetworkGame2@game@@QAEHXZ	SOURCE/SETUP	0.427141	0.016921		shape=0.191;size=0.954;calls=1.000;alternate=pol20:void advManager::UpdateTownLocators(int, int)@0x000608af:0.426709
